id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
128	limitation	-0.5556	-0.7909	6	8	13	2	2020
129	lms	-0.4665	0.3397	1	42	112	5	2019.2
130	lms data	-0.5321	0.2802	11	17	35	2	2018.5
131	lms resource	-0.4612	0.173	11	10	60	4	2020
132	loss	-0.3403	-0.0471	2	9	30	2	2021
133	main objective	0.5211	0.3825	8	14	19	2	2017.5
134	management system	-0.3906	0.1336	6	29	71	5	2019.4
135	mathematical aptitude	0.9343	-0.8269	5	22	47	2	2020
136	mathematics	0.6789	-0.7285	5	28	55	3	2019.6667
137	methodology	0.3494	-0.4824	2	66	145	13	2019.7692
138	ml algorithm	-0.3964	0.3537	1	31	102	4	2021
139	mlr	0.0903	-0.1937	2	12	48	3	2018
140	modeling technique	-0.1718	-0.3329	4	5	12	2	2019
141	momentum	-0.4193	0.1181	2	17	27	2	2020.5
142	multiclass prediction model	0.1414	-0.2461	2	9	20	2	2021
143	multiple linear regression	0.0973	-0.2074	2	12	34	2	2018
144	neural network model	-0.6858	-0.785	6	6	14	2	2019
145	one	0.1805	-0.085	3	18	55	3	2018.3333
146	online	-0.6261	0.3566	1	26	46	2	2021
147	online learning	-0.3803	0.4761	1	43	163	8	2018.5
148	output variable	-0.4183	-0.3336	6	14	43	3	2019.6667
149	overall icfes score	0.9227	-0.8249	5	22	47	2	2020
150	overview	-0.1832	0.4899	1	25	44	3	2018.3333
151	paper work	0.1673	0.2386	10	9	30	2	2019
152	pca	0.0882	-0.1966	2	18	50	4	2018.5
153	percentage	-0.3857	0.3803	1	27	87	3	2020.3333
154	perceptron	0.9222	-0.8288	5	22	47	2	2020
155	perceptron algorithm	0.9318	-0.8299	5	22	47	2	2020
156	performance metric	-0.394	-0.7334	6	2	8	4	2021
157	phase machine	-0.9086	-0.2374	7	5	16	2	2021
158	platform	-0.5002	0.3054	1	36	96	5	2020.4
159	policy maker	-0.8631	-0.3915	4	26	54	2	2020.5
160	polykernel	-0.3841	0.8753	1	8	32	2	2019
161	practice	0.66	0.71	9	20	49	4	2018.5
162	precision	-0.5165	0.0405	1	63	296	12	2020.5833
163	prediccion	0.7484	-0.586	5	32	40	3	2020.3333
164	predicting students performance	0.3768	0.579	8	10	15	2	2018.5
165	predictive accuracy	0.1174	-0.2266	2	21	29	2	2019.5
166	predictive model	-0.3206	0.5104	1	44	279	15	2020.3333
167	predictive performance	0.0951	-0.2089	2	12	34	2	2018
168	predictive system	-0.5444	-0.6004	4	7	24	3	2021
169	prevalence	-0.8997	-0.4977	4	17	195	5	2021
170	previous course	0.6238	0.1529	8	20	28	2	2019
171	principal component analysis	0.0955	-0.2067	2	12	34	2	2018
172	priori	0.7508	-0.5774	3	10	14	2	2020.5
173	probability	0.206	-0.4788	2	12	29	3	2019.6667
174	public university	0.6087	-0.2548	3	19	36	3	2019.3333
175	public us university	-0.5813	-0.1081	7	6	16	2	2019
176	python programming language classification algorithm	0.9246	-0.8317	5	22	47	2	2020
177	quality test	-0.2438	0.1169	11	3	10	2	2019
178	random tree	0.9083	0.0874	8	5	10	2	2019
179	reappear	-1.3488	-1.0138	4	6	20	2	2020
180	receiver operating characteristic	-0.7724	-0.4569	4	24	58	2	2020
181	recommendation system	-0.2297	-0.1037	2	10	17	2	2021
182	record	-0.2207	-0.0313	7	33	56	8	2019.125
183	regression	-0.2778	-0.2582	2	78	202	15	2020.2667
184	regression model	-0.1913	-0.1128	2	24	51	4	2019.75
185	relational association rule	0.9573	0.4893	9	5	21	3	2019
186	rendimiento academico	0.4709	-0.8925	2	9	28	7	2020.8571
187	research study	0.8809	-0.613	5	27	54	3	2019.3333
188	researcher	0.2714	0.4927	10	40	84	5	2020
189	review	0.0904	0.5993	10	32	105	11	2019.6364
190	risk student	-0.4062	0.3804	1	46	251	14	2019.2143
191	s prar	0.9762	0.5016	9	5	16	2	2019
192	sample	0.2075	-0.2473	3	29	48	5	2020.2
193	selection method	0.7161	-0.6661	5	30	58	3	2020.3333
194	self	-0.5098	0.4086	1	29	85	4	2018
195	sensitivity	-0.8855	-0.5816	4	31	152	6	2020.5
196	session	-0.3757	-0.2136	6	30	122	10	2019.2
197	significant prognostic factor	-0.9529	-0.5258	4	17	84	2	2021
198	simulated annealing	-0.8816	-0.0019	4	5	10	2	2021
199	smart university	-0.6566	-0.1505	6	9	20	2	2020
200	smote	0.1757	-0.085	2	20	30	2	2021
201	social attitude	-0.5595	-0.6179	4	7	18	2	2021
202	socio economic factor	0.7468	0.0203	8	6	12	2	2018
203	specific survey	0.0441	0.7302	10	9	51	3	2021
204	specificity	-0.857	-0.5801	4	35	161	6	2020.8333
205	stakeholder	-0.7378	-0.3588	4	25	59	2	2021
206	strength	-0.312	-0.4293	4	12	22	3	2019.6667
207	stress	-0.8779	-0.4852	4	17	288	8	2021
208	student dataset	0.731	0.7481	9	16	44	4	2018.5
209	student dropout	-0.4413	0.5198	1	24	44	2	2021
210	student exam performance prediction	-0.4873	0.3041	12	8	27	3	2020
211	student grade prediction	0.1423	-0.2446	2	9	20	2	2021
212	student interaction	-0.3175	0.4788	12	14	19	2	2020
213	student performance analysis	0.0466	0.7576	10	9	36	2	2021
214	student retention	-0.5574	-0.0281	7	10	13	2	2019
215	students achievement	0.1659	0.66	8	16	47	4	2017.5
216	students data	0.4149	0.3431	8	24	37	3	2018.3333
217	students final gpa	1.0838	0.2779	8	7	16	2	2017
218	students future development	-0.8251	0.6997	12	6	16	2	2021
219	students knowledge level	-0.6199	0.6592	12	10	17	2	2021
220	success rate	-0.7834	0.2334	11	5	21	3	2021
221	support	-0.3972	0.4103	1	31	98	4	2020.5
222	support vector classifier	0.1999	0.035	2	13	36	2	2021
223	svm	-0.5775	-0.2535	4	48	135	9	2020.4444
224	svms	-0.3983	-0.3019	6	9	28	2	2019
225	systematic implementation	0.7153	-0.4715	3	4	8	2	2021
226	temporal aspect	0.0486	0.756	10	9	36	2	2021
227	test	-0.2872	0.2223	11	25	57	7	2020
228	thing	0.2518	0.243	10	13	20	3	2019.3333
229	thousand	-0.3492	0.4459	1	28	47	2	2019.5
230	timely intervention	-0.4875	0.4912	1	22	78	2	2021
231	total time	-0.3954	-0.3634	6	14	45	3	2020.3333
232	traditional campuse	-0.5805	-0.1094	7	6	16	2	2019
233	universidad distrital	0.9323	-0.8198	5	22	47	2	2020
234	university student	-0.5916	-0.314	4	48	191	10	2020.3
235	upper range	0.9286	-0.832	5	22	47	2	2020
236	usage	-0.4812	0.2181	11	18	45	3	2020
237	useful knowledge	0.9659	0.3512	8	12	15	2	2017
238	video	-0.5139	0.682	12	12	17	2	2020.5
239	video learning analytic	-0.1258	0.6231	12	6	14	2	2020
240	vital role	0.6437	0.6813	9	18	28	3	2019
241	wrapper	0.9303	-0.8242	5	22	47	2	2020
